Geography,Number of eligible cases,5-year net survival,"Low 95% confidence interval, 5-year net survival","High 95% confidence interval, 5-year net survival",Age-standardized 5-year net survival,"Low 95% confidence interval, age-standardized 5-year net survival","High 95% confidence interval, age-standardized 5-year net survival"
Newfoundland and labrador,1097,13,11,16,13,11,15
Prince Edward Island,342,16,12,20,15,11,20
Nova Scotia,2530,16,15,18,16,15,18
New Brunswick,2111,15,13,17,14,13,16
Quebec,20552,17,16,17,16,15,17
Ontatrio,22307,17,17,18,17,16,17
Manitoba,2436,19,18,21,19,18,21
Saskatchewan,2053,14,13,16,15,13,16
Alberta,5253,15,14,16,15,14,16
British Colombia,8083,15,15,16,15,15,16
