Geography,Number of eligible cases,5-year net survival,"Low 95% confidence interval, 5-year net survival","High 95% confidence interval, 5-year net survival",Age-standardized 5-year net survival,"Low 95% confidence interval, age-standardized 5-year net survival","High 95% confidence interval, age-standardized 5-year net survival"
Newfoundland and labrador,1228,17,14,19,16,14,19
Prince Edward Island,382,13,10,18,13,10,18
Nova Scotia,2529,17,16,19,17,15,19
New Brunswick,2078,17,16,19,17,15,19
Quebec,21100,17,17,18,17,16,17
Ontatrio,23908,18,17,19,18,17,18
Manitoba,2547,19,17,21,19,17,21
Saskatchewan,2132,16,14,18,16,14,18
Alberta,5477,16,14,17,15,14,16
British Colombia,8303,16,16,17,16,16,17
